275 2.25
392 0.32
4 3
Betsy  	1250 	75 	3 	2
Mary  	1100  	60 	1 	1
Patty	1350	50	2	3
Susan	1450	45	3	3
Debby	1550	70	3	4
Karen	1250	63	2	4
Barb	1175	80	4	1
Nancy  	1450 	75 	3 	2
Donna  	1800  	60 	1 	1
Sandy	1220	50	2	3
Pam	1550	45	3	3
Sharon	1250	70	3	4

3 4
James  	1250 	 	3 	2	6	2.25
Mike  	1100  	 	1 	1	5	3.00
John	1350		2	3	4	2.75
Mark	1450		3	3	5	2.50
Carol	1550		3	4	6	2.50
Dennis	1250		2	4	3	4.50
Janet	1175		4	1	7	3.80
Patty  	1450 	 	3 	2	6	2.25
Amy 	1800  	 	1 	1	5	4.25
Mark	1220		2	3	4	3.75
Bill	1550		3	3	4	4.25
Anne	1250		3	4	5	5.25

